"customer_id","contact_name","city","country","total_revenue","spending_tier"
"ALFKI","Maria Anders","Berlin","Germany",4273,"low"
"LONEP","Fran Wilson","Portland","USA",4259,"low"
"PERIC","Guillermo Fernández","México D.F.","Mexico",4242,"low"
"BOLID","Martín Sommer","Madrid","Spain",4233,"low"
"FAMIA","Aria Cruz","Sao Paulo","Brazil",4108,"low"
"COMMI","Pedro Afonso","Sao Paulo","Brazil",3811,"low"
"DRACD","Sven Ottlieb","Aachen","Germany",3763,"low"
"WOLZA","Zbyszek Piestrzeniewicz","Warszawa","Poland",3532,"low"
"OCEAN","Yvonne Moncada","Buenos Aires","Argentina",3460,"low"
"THEBI","Liz Nixon","Portland","USA",3361,"low"
"BLAUS","Hanna Moos","Mannheim","Germany",3240,"low"
"FRANR","Carine Schmitt","Nantes","France",3172,"low"
"WILMK","Matti Karttunen","Helsinki","Finland",3161,"low"
"LETSS","Jaime Yorres","San Francisco","USA",3076,"low"
"HUNGC","Yoshi Latimer","Elgin","USA",3063,"low"
"RANCH","Sergio Gutiérrez","Buenos Aires","Argentina",2844,"low"
"SPECD","Dominique Perrier","Paris","France",2423,"low"
"LACOR","Daniel Tonini","Versailles","France",1992,"low"
"THECR","Liu Wong","Butte","USA",1947,"low"
"CACTU","Patricio Simpson","Buenos Aires","Argentina",1815,"low"
"CONSH","Elizabeth Brown","London","UK",1719,"low"
"DUMON","Janine Labrune","Nantes","France",1616,"low"
"TRAIH","Helvetius Nagy","Kirkland","USA",1571,"low"
"FRANS","Paolo Accorti","Torino","Italy",1546,"low"
"GROSR","Manuel Pereira","Caracas","Venezuela",1489,"low"
"VINET","Paul Henriot","Reims","France",1480,"low"
"ROMEY","Alejandra Camino","Madrid","Spain",1467,"low"
"ANATR","Ana Trujillo","México D.F.","Mexico",1403,"low"
"GALED","Eduardo Saavedra","Barcelona","Spain",837,"low"
"NORTS","Simon Crowther","London","UK",649,"low"
"LAUGB","Yoshi Tannamuri","Vancouver","Canada",522,"low"
"LAZYK","John Steel","Walla Walla","USA",357,"low"
"CENTC","Francisco Chang","México D.F.","Mexico",101,"low"
"PARIS","Marie Bertrand","Paris","France",NULL,"low"
"FISSA","Diego Roel","Madrid","Spain",NULL,"low"
