"customer_id","contact_name","total_revenue","average_revenue","performance"
"REGGC","Maurizio Moroni",7048,320.37454404237593,"above_average"
"ANTON","Antonio Moreno",7024,413.17514313765304,"above_average"
"TRADH","Anabela Domingues",6851,526.974156395339,"above_average"
"QUEDE","Bernardo Batista",6665,277.7004141537038,"above_average"
"FURIB","Lino Rodriguez",6427,321.37112505496293,"above_average"
"ISLAT","Helen Bennett",6146,267.2304341274759,"above_average"
"BSBEV","Victoria Ashworth",6090,276.8136359128085,"above_average"
"WELLI","Paula Parente",6068,319.3789458218766,"above_average"
"SANTG","Jonas Bergulfsen",5735,358.4468759596348,"above_average"
"PRINI","Isabel de Castro",5045,504.49400110578534,"above_average"
"MORGK","Alexander Feuer",5042,458.3818213722923,"above_average"
"TOMSP","Karin Josephs",4778,341.2957184007551,"above_average"
"ALFKI","Maria Anders",4273,356.08333412744105,"above_average"
"LONEP","Fran Wilson",4259,304.18571390424455,"above_average"
"PERIC","Guillermo Fernández",4242,303.0142867905753,"above_average"
"BOLID","Martín Sommer",4233,705.4750031034151,"above_average"
"FAMIA","Aria Cruz",4108,216.18683806724457,"above_average"
"COMMI","Pedro Afonso",3811,381.0749990463257,"above_average"
"DRACD","Sven Ottlieb",3763,376.3209972381592,"above_average"
"WOLZA","Zbyszek Piestrzeniewicz",3532,220.7468747496605,"above_average"
"OCEAN","Yvonne Moncada",3460,314.5636371265758,"above_average"
"THEBI","Liz Nixon",3361,480.1428576878139,"above_average"
"BLAUS","Hanna Moos",3240,231.4142851148333,"above_average"
"FRANR","Carine Schmitt",3172,528.6933339436849,"above_average"
"WILMK","Matti Karttunen",3161,185.96176371854895,"above_average"
"LETSS","Jaime Yorres",3076,307.6472482238263,"above_average"
"HUNGC","Yoshi Latimer",3063,340.35555828942194,"above_average"
"RANCH","Sergio Gutiérrez",2844,237.00833320617676,"above_average"
"SPECD","Dominique Perrier",2423,403.8916670481364,"above_average"
"LACOR","Daniel Tonini",1992,181.0954555164684,"above_average"
"THECR","Liu Wong",1947,243.40499925613403,"above_average"
"CACTU","Patricio Simpson",1815,164.98181672529742,"above_average"
"CONSH","Elizabeth Brown",1719,245.58571270533972,"above_average"
"DUMON","Janine Labrune",1616,179.54444313049316,"above_average"
"TRAIH","Helvetius Nagy",1571,174.57777659098306,"above_average"
"FRANS","Paolo Accorti",1546,154.56999979019164,"above_average"
"GROSR","Manuel Pereira",1489,372.17499923706055,"above_average"
"VINET","Paul Henriot",1480,148.00000019073485,"above_average"
"ROMEY","Alejandra Camino",1467,104.80642989703587,"above_average"
"ANATR","Ana Trujillo",1403,140.2949990272522,"above_average"
"GALED","Eduardo Saavedra",837,104.5874993801117,"above_average"
"NORTS","Simon Crowther",649,108.16666666666667,"above_average"
"LAUGB","Yoshi Tannamuri",522,65.31249904632568,"below_average"
"LAZYK","John Steel",357,178.49999904632568,"below_average"
"CENTC","Francisco Chang",101,50.39999961853027,"below_average"
